EMPLOYEE#,SURNAME,GENDER,FIRST_NAME,Person Clevel,Position Clevel,Clevel3 Description,Clevel4 Description2,Clevel6 Description3,TITLE,CATEGORY,CLASSIFICATION,STEP#,JOB#,COMMENCE_DATE,OCCUP_TERM_DATE,Person FTE,Position FTE,EMP_STATUS,POSITION#
00672021,,M,,1M02AA000,1M02AA000,UNE International,UNE International,UNE International,Casual Student Rate 1,GE,HEOS1,01,09,30/Jun/2018 ,31/Oct/2018 ,0,0,CA,0000008795
00672021,,M,,1N01AC000,1N01AC000,Information Technology Services,IT - Client Services,IT - Client Services,Casual Student Rate 2,GE,HEOS2,01,11,30/Jun/2018 ,08/Mar/2019 ,0,0,CA,0000008760
00691916,,F,,1B14AD010,1B14AD010,Faculty of Medicine & Health,School of Health,School of Health - Nursing,Casual General HEO1,GE,CAS1,01,02,15/Jun/2018 ,08/Mar/2019 ,0,0,CA,0000013696
00691916,,F,,1K01AE000,1K01AE000,Teaching and Learning,Teaching Support,Teaching Support,Casual General HEO 6,GE,CAS6,01,01,30/Jun/2018 ,08/Mar/2019 ,0,0,CA,0000013383
00677056,,F,,1K03AA000,1K03AA000,University Library,University Library,University Library,Casual General HEO3,GE,CAS3,01,06,30/Jun/2018 ,08/Mar/2019 ,0,0,CA,0000008839
00677056,,F,,1M02AA000,1M02AA000,UNE International,UNE International,UNE International,Casual General HEO 4,GE,CAS4,01,07,30/Jun/2018 ,31/Oct/2018 ,0,0,CA,0000008795
00065963,,F,,1B12AC080,1B12AC080,Faculty of HASS & Education,"School of Humanities, Arts & Social Sciences",School of HASS - German,Casual Academic,AC,CA,01,10,30/Jun/2018 ,08/Mar/2019 ,0,0,CA,0000013288
00065963,,F,,1K01AB010,1K01AB010,Teaching and Learning,Learning Support,English Language Centre,Casual Language Instructor 1,GE,LTCC,01,08,30/Jun/2018 ,08/Mar/2019 ,0,0,CA,0000011583
00065963,,F,,1K01AB010,1K01AB010,Teaching and Learning,Learning Support,English Language Centre,Casual Language Instructor 2,GE,LTCC,02,09,30/Jun/2018 ,08/Mar/2019 ,0,0,CA,0000011585
00115784,,F,,1K01AB010,1K01AB010,Teaching and Learning,Learning Support,English Language Centre,Casual Language Instructor 1,GE,LTCC,01,31,30/Jun/2018 ,08/Mar/2019 ,0,0,CA,0000011583
00115784,,F,,1K01AB010,1K01AB010,Teaching and Learning,Learning Support,English Language Centre,Casual Language Instructor 2,GE,LTCC,02,32,30/Jun/2018 ,08/Mar/2019 ,0,0,CA,0000011585
00115784,,F,,1M02AA000,1M02AA000,UNE International,UNE International,UNE International,Casual General HEO1,GE,CAS1,01,35,21/Jun/2018 ,08/Mar/2019 ,0,0,CA,0000008795
00684834,,F,,1B13AE020,1B13AE020,Faculty of SABL,UNE Business School,UNE Business School - Management,Casual Academic,AC,CA,01,02,30/Jun/2018 ,08/Mar/2019 ,0,0,CA,0000013335
00684834,,F,,1N02AI000,1N02AI000,Human Resource Services,HRS - Workforce Strategy and Development,HRS - Workforce Strategy and Development,"Manager, Workforce Strategy & Development",GE,HEO0A,01,01,30/Apr/2018 ,31/Dec/2049 ,1,1,PE,0000013195
